Fecha de captura,Level A,Description level A,Level B,Description level B,Level C,Description level C,Test Function,Configuración,Primary Measurement,Sub Measurement 1,Sub Measurement 2,Sub Measurement 3,Sub Measurement 4,Sub Measurement 5,Sub Measurement 6,Remark,Notas,Activo,Orden de trabajo,ID de usuario,Número de modelo,Nombre de la herramienta,Número de serie
31 dic 1969 21:01:27,2,,2,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,2,,Prueba de continuidad,N-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,2,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,2,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,2,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,2,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,1,,Prueba de continuidad,N-PE,0.07 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,1,,Prueba de continuidad,N-PE,0.07 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:27,1,,2,,1,,Prueba de continuidad,L-PE,0.21 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:26,1,,2,,1,,Prueba de continuidad,L-PE,0.19 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:26,1,,2,,1,,Prueba de continuidad,L-N,0.09 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:26,1,,2,,1,,Prueba de continuidad,L-N,0.07 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:26,2,,2,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:26,2,,2,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:01:26,2,,2,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.08 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.07 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,2,,1,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,2,,1,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,2,,1,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.18 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.18 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.12 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.12 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.50 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,N-PE,0.50 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.06 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-PE,0.06 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:07,1,,1,,5,,Prueba de continuidad,L-N,0.04 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.04 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.42 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.42 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.33 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.33 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.27 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.27 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.00 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,2,,1,,1,,Prueba de aislamiento,N-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,2,,1,,1,,Prueba de aislamiento,L-PE,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,2,,1,,1,,Prueba de aislamiento,L-N,> 500.0 Mohm,520 V DC,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.14 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,N-PE,0.14 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.13 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-PE,0.12 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.12 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
31 dic 1969 21:00:06,1,,1,,5,,Prueba de continuidad,L-N,0.11 ohm,,,,,,,,,No asignado,,gomzacari@gmail.com,FLUKE 1664FC,1664FC Prueba,4012368
